firstName,lastName,email,employeePassword,salary,storeStreet,storeState,storeCity
Diane,Wagner,aaron16@yahoo.com,&x1#M)LeI+,8966,"687 Michelle Forges",Michigan,"Port Brian"
Michael,Murillo,adamsjason@gmail.com,(q9@ZRjwFz,19222,"4148 Mark Mountains Apt. 333",Virginia,Nathanville
Anthony,Kelly,adyer@gmail.com,Q$6F+JVpFK,18611,"110 Brown Terrace Suite 431","South Carolina","North Sheri"
Marc,Clark,aross@yahoo.com,iZsW3IlIB#,13464,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony"
Michael,Moore,arthur79@yahoo.com,I4v^B9d9@a,13434,"1127 Drake Manors",Wisconsin,Princehaven
Kendra,Green,ayersjudith@yahoo.com,BnT#13Qb6$,15079,"79638 Liu Throughway Suite 871",Florida,Copelandville
Tonya,Reed,baileysarah@yahoo.com,218fHLRu#g,18358,"2378 Franklin Walk",Maryland,"East Julieside"
David,Mcintyre,batesfrancisco@gmail.com,*h1Qry+Cav,18625,"4148 Mark Mountains Apt. 333",Virginia,Nathanville
James,Johnson,benjaminashley@hotmail.com,t8YUXCmp+%,14713,"879 Stephens Mountain",Oregon,Ashleymouth
Dale,Parker,boltonbianca@yahoo.com,^_$1CEGmmO,12356,"360 Hall Centers",Minnesota,"New Rachel"
Gregory,Stone,brad35@gmail.com,@N1NZvaS9k,14697,"79638 Liu Throughway Suite 871",Florida,Copelandville
Melissa,Torres,brandon23@gmail.com,LGn#7DCazO,14382,"4092 Donald Union Suite 517","South Carolina",Kington
Gabriel,Ray,brianna51@hotmail.com,LmF3D^b&##,11416,"42828 Gonzalez Prairie",Alabama,"New Roy"
Samantha,Foley,burkeaudrey@gmail.com,$&Z1O6yGuP,7413,"495 Kimberly Place","Rhode Island","Lake Robertfort"
Raven,Rogers,caitlyn52@gmail.com,MM!2g$WvT8,18188,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt"
Emily,Ramirez,calvinmayo@gmail.com,pSF_Kq8pC^,14971,"70220 Lauren Point",Maryland,"New Charles"
Timothy,May,carriemurphy@yahoo.com,+^)bQ0ObH9,16282,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt"
Sarah,Mcguire,chadbrown@yahoo.com,19pG6)m0@@,13906,"875 Phillips Canyon",Florida,Garciaside
Glenda,Bryant,chapmandouglas@hotmail.com,TH4VyAbn&_,17528,"360 Hall Centers",Minnesota,"New Rachel"
Christopher,Hampton,cheyenne45@gmail.com,Swds1R((s%,16863,"3925 Williams Causeway Apt. 462",Colorado,Theresatown
Joseph,Lewis,christopher54@yahoo.com,L7%PBBE$_p,8978,"42314 Alexa Court Suite 700",Nebraska,Christinafurt
Jenny,Clark,christopher78@gmail.com,mSZ9T)0mJ+,13316,"4148 Mark Mountains Apt. 333",Virginia,Nathanville
Erin,Curtis,christophergillespie@yahoo.com,(6%7DP7x0*,12497,"09188 Colleen Overpass",Connecticut,"Port Christopherland"
Jeffrey,White,christopherjohnson@hotmail.com,h4**BR_J@w,13446,"14257 Kelley Spring Suite 397",Oregon,Joannemouth
Joseph,Hughes,churchbrandi@gmail.com,U4Vt^Lc__8,11210,"879 Stephens Mountain",Oregon,Ashleymouth
David,Ritter,clementschristina@yahoo.com,+IOwfRGia1,5942,"70220 Lauren Point",Maryland,"New Charles"
Kelly,Gonzalez,cody17@hotmail.com,h*1*OsCwk),8497,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus"
Tiffany,Duncan,corey19@yahoo.com,+6H5GDBvIE,19391,"321 Caldwell View Apt. 900",Missouri,Jenniferport
Jennifer,Dunlap,courtneyhunt@gmail.com,v4P4vJCa_i,18067,"79638 Liu Throughway Suite 871",Florida,Copelandville
Bruce,Lopez,cruzstephen@yahoo.com,jM_+@U6p&9,11014,"875 Phillips Canyon",Florida,Garciaside
