courierServer,dateShipped,saleID,customerEmail
"Kuehne + Nagel",2022-04-13,8624,michellechapman@yahoo.com
"Agility Logistics",2022-12-11,71970,mortiz@gmail.com
DHL,2022-09-15,133609,gallegospaula@hotmail.com
"DB Schenker",2021-12-31,228053,rcowan@gmail.com
FedEx,2022-01-11,292085,josephodom@hotmail.com
UPS,2022-04-19,334945,wjohnson@yahoo.com
DHL,2022-01-01,452373,holmesbrian@yahoo.com
"Kuehne + Nagel",2022-02-20,558167,lward@gmail.com
"Canada Post",2022-04-03,611381,iguzman@hotmail.com
DHL,2021-12-27,706469,staciesmith@gmail.com
"DB Schenker",2022-07-23,710442,robin82@gmail.com
"Hyundai Glovis",2022-11-19,727822,danielsmichael@yahoo.com
FedEx,2022-09-25,868402,holmesbrian@yahoo.com
"Agility Logistics",2022-10-12,1051445,angela14@hotmail.com
"Canada Post",2022-07-04,1105285,pedronguyen@hotmail.com
UPS,2022-02-03,1110197,smoore@hotmail.com
UPS,2022-08-12,1132717,ypoole@yahoo.com
"Kuehne + Nagel",2022-06-22,1281644,heatherbailey@gmail.com
"Agility Logistics",2022-07-12,1308891,qeverett@yahoo.com
FedEx,2022-08-02,1398335,julie08@yahoo.com
"Hyundai Glovis",2022-05-22,1526844,staciesmith@gmail.com
"Canada Post",2022-10-21,1543087,wjohnson@yahoo.com
"DB Schenker",2022-02-11,1929300,stevenrobbins@gmail.com
DHL,2022-04-05,1987409,franksantana@hotmail.com
DHL,2022-01-01,2236681,janetjackson@hotmail.com
FedEx,2022-03-29,2395098,rachelduke@yahoo.com
"Kuehne + Nagel",2022-04-18,2469355,clarkdaniel@hotmail.com
UPS,2022-02-22,2538068,kramerthomas@yahoo.com
"Hyundai Glovis",2022-11-22,2633459,norma12@hotmail.com
UPS,2022-08-19,2656434,gallegospaula@hotmail.com
"Kuehne + Nagel",2022-06-02,2926186,heatherbailey@gmail.com
"Canada Post",2022-11-24,3034415,herrerajacqueline@gmail.com
"Agility Logistics",2022-11-16,3067093,taylorjose@hotmail.com
APL,2022-09-26,3216606,iguzman@hotmail.com
"Kuehne + Nagel",2022-04-25,3444764,manuel09@yahoo.com
"DB Schenker",2022-02-19,3463543,samanthamartin@yahoo.com
FedEx,2022-06-12,3491119,iguzman@hotmail.com
"Hyundai Glovis",2022-03-28,3735589,jacklawson@yahoo.com
APL,2022-05-25,3750186,roger36@hotmail.com
FedEx,2022-06-13,3767597,amysampson@yahoo.com
APL,2022-04-18,3871102,austinwilson@hotmail.com
"Agility Logistics",2022-04-01,3898611,awhite@yahoo.com
FedEx,2022-01-22,3960011,edward22@gmail.com
APL,2022-10-27,3965306,vvelazquez@hotmail.com
UPS,2021-12-21,4099512,sandraanthony@hotmail.com
"Kuehne + Nagel",2022-08-28,4159377,nancy66@yahoo.com
"Hyundai Glovis",2021-12-14,4196006,marshalljacob@hotmail.com
"Canada Post",2022-11-23,4266716,youngshawn@gmail.com
"Hyundai Glovis",2022-12-13,4296485,josephodom@hotmail.com
APL,2022-12-03,4378259,bwallace@gmail.com
UPS,2022-05-08,4559016,danielsmichael@yahoo.com
"Agility Logistics",2022-01-01,4664857,taylorjose@hotmail.com
DHL,2022-06-29,4748045,rhondachandler@yahoo.com
"Canada Post",2022-05-23,5058730,heatherbailey@gmail.com
"DB Schenker",2022-04-30,5077564,amysampson@yahoo.com
APL,2022-03-02,5109265,swagner@hotmail.com
UPS,2022-04-12,5193677,fuentesmark@yahoo.com
FedEx,2022-03-06,5229482,angelica23@hotmail.com
DHL,2022-10-17,5256730,linda81@yahoo.com
DHL,2022-12-26,5313709,josephodom@hotmail.com
"Hyundai Glovis",2022-01-12,5349760,pedronguyen@hotmail.com
"DB Schenker",2021-12-28,5583621,robertmoore@gmail.com
"Kuehne + Nagel",2022-09-12,5987894,robin82@gmail.com
FedEx,2022-07-10,6030483,ginameyer@gmail.com
APL,2022-08-04,6072605,robin82@gmail.com
"Kuehne + Nagel",2022-10-14,7051791,franksantana@hotmail.com
"Canada Post",2022-08-07,7195211,antonio16@hotmail.com
UPS,2022-05-27,7352171,ginameyer@gmail.com
"Agility Logistics",2022-03-09,7601545,coxregina@yahoo.com
"Agility Logistics",2022-10-28,7637728,scottlaura@hotmail.com
"Agility Logistics",2022-07-19,7968037,hicksjill@gmail.com
DHL,2022-09-12,8024022,allenlee@hotmail.com
"Agility Logistics",2022-02-15,8161697,myerstyrone@yahoo.com
APL,2022-03-16,8161864,dennis77@yahoo.com
UPS,2022-11-05,8234063,tiffany30@hotmail.com
"Kuehne + Nagel",2022-12-20,8407856,samanthamartin@yahoo.com
DHL,2022-12-01,8443397,frederickpatricia@hotmail.com
APL,2022-04-15,8444691,richdesiree@hotmail.com
APL,2022-04-09,8509888,frederickpatricia@hotmail.com
UPS,2022-06-11,8916778,rodriguezdebra@gmail.com
UPS,2022-02-03,9033429,manuel09@yahoo.com
"Hyundai Glovis",2022-06-23,9493476,samanthamartin@yahoo.com
FedEx,2022-08-17,9526785,wayala@yahoo.com
APL,2021-12-30,9602007,ian91@yahoo.com
FedEx,2022-03-24,10236031,michelle29@yahoo.com
DHL,2021-12-31,10332771,lmoyer@yahoo.com
DHL,2022-05-20,10362006,bwallace@gmail.com
FedEx,2022-11-28,10370322,john90@yahoo.com
"Hyundai Glovis",2022-08-08,10411506,rogersheidi@gmail.com
UPS,2022-11-18,10497425,zacharyluna@yahoo.com
UPS,2022-07-03,10499085,hpowers@gmail.com
"Hyundai Glovis",2022-07-04,10624982,tracyriley@yahoo.com
APL,2022-04-21,11038597,richdesiree@hotmail.com
APL,2022-07-26,11238676,linda81@yahoo.com
"Canada Post",2022-07-18,11319689,frederickpatricia@hotmail.com
"DB Schenker",2022-01-21,11475231,kramerthomas@yahoo.com
"Kuehne + Nagel",2022-07-04,11578727,andrew22@yahoo.com
"Agility Logistics",2022-02-07,12057474,angelica23@hotmail.com
"Canada Post",2021-12-23,12154371,linda81@yahoo.com
DHL,2022-10-03,12157532,robertmoore@gmail.com
UPS,2022-12-01,12323258,stevenrobbins@gmail.com
"Agility Logistics",2022-10-21,12324842,zprice@yahoo.com
"DB Schenker",2022-02-05,12373048,john87@hotmail.com
"Kuehne + Nagel",2022-05-10,12414796,sbrown@yahoo.com
"Kuehne + Nagel",2022-04-20,12510351,autumnbryant@hotmail.com
APL,2022-09-09,12690923,datkinson@gmail.com
"Agility Logistics",2022-12-23,12768349,bullockrichard@gmail.com
"Canada Post",2022-03-24,12811359,hpowers@gmail.com
"Hyundai Glovis",2022-12-18,12918126,sanchezkenneth@yahoo.com
"Hyundai Glovis",2022-05-06,12959471,timothy89@hotmail.com
"Kuehne + Nagel",2022-03-13,13102555,randy38@hotmail.com
DHL,2022-05-16,13296834,bullockrichard@gmail.com
DHL,2022-03-21,13342388,zprice@yahoo.com
APL,2022-07-22,13369231,carriehampton@yahoo.com
"Hyundai Glovis",2022-10-04,13412715,smoore@hotmail.com
APL,2022-05-12,13423292,sbrown@yahoo.com
"Canada Post",2022-06-07,13796372,josephodom@hotmail.com
DHL,2022-04-07,13859435,elucero@hotmail.com
APL,2022-10-02,13881566,andrew22@yahoo.com
UPS,2022-10-16,13887438,allison30@gmail.com
UPS,2022-05-01,13940768,robertmoore@gmail.com
"Agility Logistics",2022-09-22,14042393,blackmallory@hotmail.com
"Hyundai Glovis",2022-04-27,14181269,jose79@hotmail.com
"Canada Post",2022-05-28,14413926,bwallace@gmail.com
"DB Schenker",2022-08-15,14703768,colleen86@yahoo.com
UPS,2021-12-19,15087683,lward@gmail.com
"Canada Post",2022-03-13,15090652,tylerward@hotmail.com
APL,2022-03-18,15172693,jessica86@gmail.com
"Hyundai Glovis",2022-09-21,15177407,bcampbell@gmail.com
"Agility Logistics",2022-03-11,15309952,timothy89@hotmail.com
DHL,2022-11-13,15352866,debrabrown@gmail.com
"Kuehne + Nagel",2022-04-03,15382535,carriehampton@yahoo.com
APL,2022-08-09,15404886,bullockrichard@gmail.com
DHL,2021-12-30,15515285,blackmallory@hotmail.com
FedEx,2022-06-19,15570741,sandraanthony@hotmail.com
DHL,2022-12-10,15619754,allenlee@hotmail.com
DHL,2022-12-13,15847881,gregorymoran@hotmail.com
"Canada Post",2022-04-08,15943767,danielsmichael@yahoo.com
FedEx,2022-11-06,16079489,yrobinson@yahoo.com
UPS,2022-10-25,16147751,colleen86@yahoo.com
FedEx,2022-07-23,16152328,bflores@gmail.com
"Hyundai Glovis",2022-09-05,16370685,heatherbailey@gmail.com
UPS,2022-09-22,16382374,ifowler@hotmail.com
FedEx,2022-06-14,16439481,kramerthomas@yahoo.com
"Hyundai Glovis",2022-12-10,16544246,mortiz@gmail.com
"Canada Post",2022-04-25,16700307,antonio16@hotmail.com
"Agility Logistics",2022-11-28,16853447,tiffany30@hotmail.com
"Agility Logistics",2022-04-20,16857728,verickson@yahoo.com
"Agility Logistics",2022-02-06,16962316,stevensawyer@hotmail.com
DHL,2022-06-21,17039819,mitchellwilliam@yahoo.com
"Hyundai Glovis",2022-11-16,17244060,matthew70@hotmail.com
"Kuehne + Nagel",2022-12-02,17301398,gregorymoran@hotmail.com
UPS,2022-12-10,17305105,ryan70@yahoo.com
"DB Schenker",2022-06-23,17373401,marshalljacob@hotmail.com
"Agility Logistics",2022-10-01,17406451,robin82@gmail.com
UPS,2022-04-24,17559331,stevensawyer@hotmail.com
APL,2022-08-21,17619400,rodriguezdebra@gmail.com
"Hyundai Glovis",2022-09-29,17628686,ifowler@hotmail.com
APL,2022-02-04,17691833,danieltucker@gmail.com
FedEx,2022-02-17,17727679,swagner@hotmail.com
"DB Schenker",2022-04-06,17885089,kramerthomas@yahoo.com
"Kuehne + Nagel",2022-10-04,17992459,bgeorge@yahoo.com
"Kuehne + Nagel",2022-12-23,18002270,tracyriley@yahoo.com
"Canada Post",2022-02-10,18024142,zacharyluna@yahoo.com
"DB Schenker",2022-07-21,18044201,juliedelgado@hotmail.com
"Kuehne + Nagel",2022-11-28,18044706,anthonyjackson@hotmail.com
"Canada Post",2022-02-01,18049534,myerstyrone@yahoo.com
APL,2022-09-15,18069655,jesse24@yahoo.com
APL,2022-11-04,18129090,rhondachandler@yahoo.com
"Hyundai Glovis",2022-03-01,18146714,youngshawn@gmail.com
"Canada Post",2022-02-09,18203479,gregorymoran@hotmail.com
"Canada Post",2021-12-30,18226072,iguzman@hotmail.com
UPS,2022-01-03,18242171,qlopez@gmail.com
UPS,2022-07-06,18417777,jesse24@yahoo.com
"Canada Post",2022-05-30,18447545,gregory99@gmail.com
"Kuehne + Nagel",2022-07-16,18463767,zwalls@yahoo.com
"Canada Post",2022-04-25,18623567,ian91@yahoo.com
"Hyundai Glovis",2021-12-23,18756401,bwallace@gmail.com
UPS,2022-01-03,18865530,ifowler@hotmail.com
"Kuehne + Nagel",2022-12-04,18915327,clarkdaniel@hotmail.com
DHL,2022-06-10,19032955,edward22@gmail.com
UPS,2022-04-04,19037332,kennedykenneth@gmail.com
"DB Schenker",2022-08-10,19184647,jose79@hotmail.com
APL,2022-04-11,19305486,staciesmith@gmail.com
APL,2021-12-13,19317571,ypoole@yahoo.com
"DB Schenker",2021-12-14,19390567,blackmallory@hotmail.com
"Kuehne + Nagel",2022-06-04,19600505,manuel09@yahoo.com
