totalSaleAmount,saleType,saleID,employeeEmail,customerEmail,itemID
1682.2,order,8624,hickmanjustin@gmail.com,michellechapman@yahoo.com,86
7532.34,order,71970,moraleslori@yahoo.com,mortiz@gmail.com,13
5044.15,order,133609,robinsonsean@yahoo.com,gallegospaula@hotmail.com,38
4734.46,instore,152723,vsanders@hotmail.com,lmoyer@yahoo.com,120
5501.27,instore,182010,william48@hotmail.com,andrew22@yahoo.com,167
8759.28,order,228053,burkeaudrey@gmail.com,rcowan@gmail.com,184
6968.47,order,292085,courtneyhunt@gmail.com,josephodom@hotmail.com,64
1059.78,order,334945,hallscott@yahoo.com,wjohnson@yahoo.com,176
8097.14,order,452373,sramirez@hotmail.com,holmesbrian@yahoo.com,129
2839.57,instore,545402,markssteven@yahoo.com,bflores@gmail.com,13
9229.83,instore,553827,nicholas81@hotmail.com,gregorymoran@hotmail.com,174
1016.61,order,558167,khart@gmail.com,lward@gmail.com,13
2406.39,order,611381,nicolejohnson@gmail.com,iguzman@hotmail.com,170
2341.24,instore,636865,dawnturner@hotmail.com,johnsonrobert@gmail.com,66
1447.05,order,706469,jonesjason@hotmail.com,staciesmith@gmail.com,143
4773.78,order,710442,crystalthompson@yahoo.com,robin82@gmail.com,159
497.5,order,727822,arthur79@yahoo.com,danielsmichael@yahoo.com,62
4624.27,instore,781923,qmiller@gmail.com,carriehampton@yahoo.com,124
7803.82,instore,791564,qperez@gmail.com,ericayoung@gmail.com,72
3755.34,instore,852883,donnagreen@hotmail.com,jessica86@gmail.com,50
1607.13,order,868402,kimberly23@gmail.com,holmesbrian@yahoo.com,32
7334.76,instore,974202,nwilliams@gmail.com,richdesiree@hotmail.com,155
8431.39,order,1051445,rsuarez@gmail.com,angela14@hotmail.com,14
907.1,instore,1068795,xpalmer@yahoo.com,matthew70@hotmail.com,173
2978.09,instore,1101065,steven22@yahoo.com,saracook@hotmail.com,152
9368.24,order,1105285,calvinmayo@gmail.com,pedronguyen@hotmail.com,91
5101.76,order,1110197,matthewsimon@gmail.com,smoore@hotmail.com,99
176.28,order,1132717,stephenhudson@yahoo.com,ypoole@yahoo.com,50
5724.81,order,1281644,qgallegos@gmail.com,heatherbailey@gmail.com,104
798.56,order,1308891,qmartinez@yahoo.com,qeverett@yahoo.com,55
3333.04,instore,1331349,ericacarter@gmail.com,andersonjeremy@hotmail.com,100
7197.19,instore,1360356,vsanders@hotmail.com,yrobinson@yahoo.com,191
5058.89,order,1398335,perrysarah@yahoo.com,julie08@yahoo.com,115
897.14,instore,1440607,russellsean@hotmail.com,andersonjeremy@hotmail.com,79
8510.87,order,1526844,aaron16@yahoo.com,staciesmith@gmail.com,168
7846.26,order,1543087,zimmermanadam@gmail.com,wjohnson@yahoo.com,132
5877.63,instore,1865011,vegaphillip@hotmail.com,brightkathleen@hotmail.com,173
8318.77,order,1929300,vsanders@hotmail.com,stevenrobbins@gmail.com,186
6126.46,order,1987409,elizabethleach@gmail.com,franksantana@hotmail.com,15
8080.88,instore,2126159,chapmandouglas@hotmail.com,lawrenceharris@hotmail.com,30
2241.56,instore,2165394,williamgarcia@gmail.com,bullockrichard@gmail.com,78
6963.76,instore,2210001,stephenhudson@yahoo.com,colleen86@yahoo.com,97
1776.34,order,2236681,courtneyhunt@gmail.com,janetjackson@hotmail.com,179
3206.07,instore,2237138,jerry44@hotmail.com,stevensawyer@hotmail.com,108
2498.78,instore,2296623,simsdaniel@gmail.com,qwilliams@gmail.com,136
6386.36,instore,2324586,xpalmer@yahoo.com,richdesiree@hotmail.com,162
9255.26,instore,2390574,moraleslori@yahoo.com,deborahmacias@yahoo.com,124
2291.55,order,2395098,richteresa@hotmail.com,rachelduke@yahoo.com,166
4988.08,instore,2433585,vcook@hotmail.com,sbrown@yahoo.com,161
8306.84,order,2469355,franklinshane@yahoo.com,clarkdaniel@hotmail.com,56
4219.27,instore,2485515,brandon23@gmail.com,colleen86@yahoo.com,39
2181.72,order,2538068,sfletcher@yahoo.com,kramerthomas@yahoo.com,50
8476.2,order,2633459,robinsonsean@yahoo.com,norma12@hotmail.com,75
6272.51,instore,2643786,twang@gmail.com,deborahmacias@yahoo.com,6
8195.72,order,2656434,regina81@gmail.com,gallegospaula@hotmail.com,68
1250.51,order,2926186,chadbrown@yahoo.com,heatherbailey@gmail.com,198
352.39,order,3034415,stephenhudson@yahoo.com,herrerajacqueline@gmail.com,188
3747.6,order,3067093,perrysarah@yahoo.com,taylorjose@hotmail.com,80
5690.41,instore,3179314,baileysarah@yahoo.com,qeverett@yahoo.com,108
8228.91,order,3216606,aaron16@yahoo.com,iguzman@hotmail.com,123
2968.55,instore,3216880,natalie62@hotmail.com,stevenrobbins@gmail.com,57
120.2,instore,3272671,donnagreen@hotmail.com,zacharyluna@yahoo.com,1
5505.76,instore,3277645,vegachristopher@hotmail.com,julie08@yahoo.com,147
5495.41,instore,3297452,djohns@hotmail.com,hpowers@gmail.com,147
2270.1,order,3444764,vanessa73@gmail.com,manuel09@yahoo.com,123
2389.45,order,3463543,kblake@yahoo.com,samanthamartin@yahoo.com,20
5278.03,order,3491119,franklinshane@yahoo.com,iguzman@hotmail.com,190
1951.94,order,3735589,donald23@gmail.com,jacklawson@yahoo.com,137
6341.72,instore,3741054,jensenlisa@hotmail.com,debrabrown@gmail.com,74
2900.46,order,3750186,nataliepayne@gmail.com,roger36@hotmail.com,98
9595.33,order,3767597,aross@yahoo.com,amysampson@yahoo.com,97
2670.2,instore,3820643,paynealan@hotmail.com,angela14@hotmail.com,61
7965.01,order,3871102,arthur79@yahoo.com,austinwilson@hotmail.com,151
8241.06,order,3898611,boltonbianca@yahoo.com,awhite@yahoo.com,177
1763.86,order,3960011,timothy33@gmail.com,edward22@gmail.com,29
926.91,order,3965306,regina81@gmail.com,vvelazquez@hotmail.com,55
8923.08,instore,3965771,wadams@yahoo.com,danieltucker@gmail.com,49
485.8,instore,4049746,pamelabrennan@gmail.com,manuel09@yahoo.com,26
8398.12,order,4099512,william48@hotmail.com,sandraanthony@hotmail.com,178
2154.99,order,4159377,franklinshane@yahoo.com,nancy66@yahoo.com,116
1209.19,order,4196006,marcmoore@yahoo.com,marshalljacob@hotmail.com,25
960.93,order,4266716,martindanielle@hotmail.com,youngshawn@gmail.com,116
4330.55,instore,4273752,robertsleslie@hotmail.com,taylorjose@hotmail.com,24
4844.98,instore,4280378,oliviagarrett@yahoo.com,lawrenceharris@hotmail.com,170
972.53,instore,4284390,robertsangelica@yahoo.com,hpowers@gmail.com,63
9783.99,order,4296485,pmclaughlin@yahoo.com,josephodom@hotmail.com,186
324.8,order,4378259,adyer@gmail.com,bwallace@gmail.com,168
2443.25,instore,4386353,tim51@yahoo.com,heatherbailey@gmail.com,60
4950.05,order,4559016,jody59@hotmail.com,danielsmichael@yahoo.com,32
9194.68,instore,4650676,josephhurley@gmail.com,jesse24@yahoo.com,198
855.21,order,4664857,shirley29@hotmail.com,taylorjose@hotmail.com,163
9401.78,instore,4734765,adamsjason@gmail.com,manuel09@yahoo.com,197
5899.23,order,4748045,megan90@gmail.com,rhondachandler@yahoo.com,123
4019.1,instore,4994565,singhmatthew@hotmail.com,cboone@yahoo.com,82
2930.67,order,5058730,favila@yahoo.com,heatherbailey@gmail.com,96
8390.96,order,5077564,toddbennett@gmail.com,amysampson@yahoo.com,60
9834.46,order,5109265,uedwards@yahoo.com,swagner@hotmail.com,103
3762.84,order,5193677,zkennedy@gmail.com,fuentesmark@yahoo.com,198
1000.37,instore,5229185,jeffreystephens@hotmail.com,john85@yahoo.com,198
132.86,order,5229482,perrysarah@yahoo.com,angelica23@hotmail.com,125
3997.57,order,5256730,donnagreen@hotmail.com,linda81@yahoo.com,19
9811.81,order,5313709,zimmermanadam@gmail.com,josephodom@hotmail.com,190
8951.57,instore,5321841,toddbennett@gmail.com,antonio16@hotmail.com,149
5553.91,order,5349760,christopherjohnson@hotmail.com,pedronguyen@hotmail.com,45
3760.51,order,5583621,nataliepayne@gmail.com,robertmoore@gmail.com,108
7542.23,instore,5676613,crystalthompson@yahoo.com,michelle29@yahoo.com,160
400.22,instore,5764679,cheyenne45@gmail.com,danielsmichael@yahoo.com,139
7827.78,instore,5934386,ruizsara@yahoo.com,cheryl77@hotmail.com,41
1996.78,order,5987894,deanna34@hotmail.com,robin82@gmail.com,123
306.03,order,6030483,ingrambrittany@yahoo.com,ginameyer@gmail.com,85
6167.24,order,6072605,jscott@hotmail.com,robin82@gmail.com,192
8045.15,instore,6086749,boltonbianca@yahoo.com,mortiz@gmail.com,99
1091.97,instore,6300371,jasonburgess@gmail.com,hmeyer@gmail.com,179
3126.6,instore,6302030,josephhurley@gmail.com,norma12@hotmail.com,167
4633.38,instore,6407254,ingrambrittany@yahoo.com,zacharyluna@yahoo.com,90
1554,instore,6795092,arthur79@yahoo.com,sanchezkenneth@yahoo.com,162
5425.54,instore,6797461,johnbriggs@yahoo.com,allison30@gmail.com,18
5129.32,instore,7044540,aross@yahoo.com,vvelazquez@hotmail.com,179
864.15,order,7051791,qgallegos@gmail.com,franksantana@hotmail.com,160
5949.98,instore,7052989,sheri72@yahoo.com,pedronguyen@hotmail.com,86
9051.25,order,7195211,greerjessica@hotmail.com,antonio16@hotmail.com,103
3291,instore,7231261,perrysarah@yahoo.com,jesse24@yahoo.com,129
6379.26,instore,7295652,william00@gmail.com,frederickpatricia@hotmail.com,43
5468.79,order,7352171,dshea@gmail.com,ginameyer@gmail.com,98
756.56,instore,7398247,donnagreen@hotmail.com,wjohnson@yahoo.com,86
9342.7,order,7601545,sara16@gmail.com,coxregina@yahoo.com,137
2089.36,order,7637728,stephenhudson@yahoo.com,scottlaura@hotmail.com,66
3913.85,instore,7849466,aross@yahoo.com,pedronguyen@hotmail.com,131
8485.1,instore,7966460,regina81@gmail.com,debrabrown@gmail.com,184
2615.67,order,7968037,dylandavis@yahoo.com,hicksjill@gmail.com,105
6058.84,order,8024022,haydenlauren@yahoo.com,allenlee@hotmail.com,29
3655.3,order,8161697,tim51@yahoo.com,myerstyrone@yahoo.com,189
9344.74,order,8161864,vanessa73@gmail.com,dennis77@yahoo.com,86
8734.36,order,8234063,susanmartinez@hotmail.com,tiffany30@hotmail.com,101
1692.64,instore,8287090,jerry44@hotmail.com,smithshaun@gmail.com,111
2814.71,instore,8344144,kevincook@hotmail.com,verickson@yahoo.com,93
8288.41,order,8407856,adamsjason@gmail.com,samanthamartin@yahoo.com,32
4929.55,order,8443397,adyer@gmail.com,frederickpatricia@hotmail.com,75
9190.88,order,8444691,singhmatthew@hotmail.com,richdesiree@hotmail.com,148
2947.88,instore,8472762,jasonburgess@gmail.com,mortiz@gmail.com,190
5383.34,instore,8502346,jamiemcguire@yahoo.com,john90@yahoo.com,183
7302.72,order,8509888,cheyenne45@gmail.com,frederickpatricia@hotmail.com,141
5224.01,instore,8884381,qmartinez@yahoo.com,zwatkins@yahoo.com,134
928.98,order,8916778,ayersjudith@yahoo.com,rodriguezdebra@gmail.com,133
2904.02,instore,8935144,kevincook@hotmail.com,bcampbell@gmail.com,65
8277.35,order,9033429,riosjames@hotmail.com,manuel09@yahoo.com,110
3944.1,instore,9204164,greerjessica@hotmail.com,allenlee@hotmail.com,43
6582.43,instore,9256590,xmartinez@yahoo.com,herrerajacqueline@gmail.com,34
362.63,instore,9263369,russellsean@hotmail.com,sarah40@hotmail.com,38
6720.57,instore,9272835,eric70@hotmail.com,holmesbrian@yahoo.com,81
3836.76,instore,9346086,susan94@gmail.com,qwilliams@gmail.com,46
7363.63,order,9493476,djohns@hotmail.com,samanthamartin@yahoo.com,154
9914.12,order,9526785,ingrambrittany@yahoo.com,wayala@yahoo.com,127
8470.78,instore,9594685,elizabethleach@gmail.com,derek56@gmail.com,155
8016.47,order,9602007,nataliepayne@gmail.com,ian91@yahoo.com,95
3439.21,instore,9669116,sramirez@hotmail.com,debrabrown@gmail.com,196
745.04,instore,9816589,qmartinez@yahoo.com,elucero@hotmail.com,11
8771.29,instore,10012161,adyer@gmail.com,nancy66@yahoo.com,96
5625.32,instore,10082850,hansonjustin@gmail.com,gallegospaula@hotmail.com,122
8585.96,instore,10083024,kelleydanielle@yahoo.com,tiffany30@hotmail.com,65
4980.97,instore,10145258,marcmoore@yahoo.com,toddroberts@gmail.com,160
372.69,instore,10176757,michelle77@hotmail.com,iking@gmail.com,138
8257.7,order,10236031,zkennedy@gmail.com,michelle29@yahoo.com,133
8803.05,instore,10295144,toddbennett@gmail.com,jessica86@gmail.com,139
8195.54,order,10332771,vanessa73@gmail.com,lmoyer@yahoo.com,78
845.36,order,10362006,garypetersen@yahoo.com,bwallace@gmail.com,30
6303.87,order,10370322,brandon23@gmail.com,john90@yahoo.com,26
4859.65,instore,10393932,dylandavis@yahoo.com,julie08@yahoo.com,50
2452.4,order,10411506,eric70@hotmail.com,rogersheidi@gmail.com,82
2400.45,instore,10447499,twang@gmail.com,kristin05@hotmail.com,161
9859.94,order,10497425,edward43@gmail.com,zacharyluna@yahoo.com,41
6377.43,order,10499085,christopherjohnson@hotmail.com,hpowers@gmail.com,34
6087.64,instore,10608685,lawrencetammy@yahoo.com,loretta79@yahoo.com,91
1250.6,order,10624982,brianna51@hotmail.com,tracyriley@yahoo.com,180
7094.46,instore,10791219,russellsean@hotmail.com,matthew70@hotmail.com,129
3901.47,instore,10814000,cheyenne45@gmail.com,ruizhoward@yahoo.com,142
3031.91,instore,11002581,woodruth@yahoo.com,stevensawyer@hotmail.com,154
2128.73,instore,11005643,eric70@hotmail.com,heatherbailey@gmail.com,107
895.55,order,11038597,susanmartinez@hotmail.com,richdesiree@hotmail.com,187
2453.15,instore,11160861,hallscott@yahoo.com,smoore@hotmail.com,90
2333.07,instore,11221722,edward11@gmail.com,wdowns@hotmail.com,112
6158.23,order,11238676,williamsjoseph@hotmail.com,linda81@yahoo.com,49
7012.75,order,11319689,rsuarez@gmail.com,frederickpatricia@hotmail.com,56
2930.78,order,11475231,edward43@gmail.com,kramerthomas@yahoo.com,1
2121.48,instore,11496298,reillyjessica@hotmail.com,brandy17@yahoo.com,165
5208.55,instore,11496427,donald23@gmail.com,andrew22@yahoo.com,100
4610.28,instore,11557982,rodriguezemily@hotmail.com,zwatkins@yahoo.com,140
2167.44,instore,11569411,theodore39@yahoo.com,freemantammy@yahoo.com,169
5426.22,order,11578727,adyer@gmail.com,andrew22@yahoo.com,34
